"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"lm.table",0.327272727272727,0.835526315789474,0.590163934426229,0.631840796019901,0.419847328244275,0.137404580152672,0.232824427480916,0.581399521531101
"lda.table",0,1,NA,0.580152671755725,0.419847328244275,0,0,0.5
"rf.table",0.763636363636364,0.690789473684211,0.641221374045801,0.801526717557252,0.419847328244275,0.320610687022901,0.5,0.727212918660287
"l.svm.table",0.648809523809524,0.373390557939914,0.427450980392157,0.595890410958904,0.418952618453865,0.271820448877805,0.635910224438903,0.511100040874719
"r.svm.table",0.523809523809524,0.48068669527897,0.421052631578947,0.583333333333333,0.418952618453865,0.219451371571072,0.521197007481297,0.502248109544247
"knn.table",0.95,0.980263157894737,0.972093023255814,0.964401294498382,0.419847328244275,0.398854961832061,0.41030534351145,0.965131578947368
