"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","classifier"
"lm.table",0.660287081339713,0.62781954887218,0.582278481012658,0.701680672268908,0.44,0.290526315789474,0.498947368421053,0.644053315105947,1
"lda.table",0.483253588516746,0.515037593984962,0.439130434782609,0.559183673469388,0.44,0.212631578947368,0.484210526315789,0.499145591250854,1
"qda.table",0.483253588516746,0.515037593984962,0.439130434782609,0.559183673469388,0.44,0.212631578947368,0.484210526315789,0.499145591250854,1
"rf.table",0.822966507177033,0.665413533834586,0.659003831417624,0.827102803738318,0.44,0.362105263157895,0.549473684210526,0.74419002050581,1
"l.svm.table",0.923076923076923,0.567669172932331,0.625407166123779,0.904191616766467,0.438818565400844,0.40506329113924,0.647679324894515,0.745373048004627,1
"r.svm.table",0.817307692307692,0.642857142857143,0.641509433962264,0.818181818181818,0.438818565400844,0.358649789029536,0.559071729957806,0.730082417582418,1
"knn.table",0.942583732057416,0.958646616541353,0.947115384615385,0.955056179775281,0.44,0.414736842105263,0.437894736842105,0.950615174299385,1
