"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","classifier"
"lm.table",0.868263473053892,0.581081081081081,0.609243697478992,0.854304635761589,0.429305912596401,0.372750642673522,0.611825192802057,0.724672277067487,2
"lda.table",0.880239520958084,0.603603603603604,0.625531914893617,0.87012987012987,0.429305912596401,0.377892030848329,0.604113110539846,0.741921562280844,2
"rf.table",0.868263473053892,0.603603603603604,0.622317596566524,0.858974358974359,0.429305912596401,0.372750642673522,0.598971722365039,0.735933538328748,2
"l.svm.table",0.910179640718563,0.594594594594595,0.628099173553719,0.897959183673469,0.429305912596401,0.390745501285347,0.622107969151671,0.752387117656579,2
"r.svm.table",0.802395209580838,0.657657657657658,0.638095238095238,0.815642458100559,0.429305912596401,0.344473007712082,0.539845758354756,0.730026433619248,2
"knn.table",0.964071856287425,0.986486486486487,0.981707317073171,0.973333333333333,0.429305912596401,0.413881748071979,0.42159383033419,0.975279171386956,2
